!;' <P>;XY;!;XY
!!;' <P>;VVFIN;!!;V
!!!;' <P>;VVFIN;!!!;V
!!!!;' <P>;VVFIN;!!!!;V
!!!!!;' <P>;VVFIN;!!!!!;V
!!!!!!;' <P>;VVFIN;!!!!!!;V
!!!!!!!;' <P>;VVFIN;!!!!!!!;V
!-/;' <P>;VVFIN;! - /;V MFG V
!.;' <P>;VVFIN;!.;V
!?;' <P>;VVFIN;!?;V
";' <P>;XY;";XY
"Missing"-Plakate;m ' I s . I N . p l a . k a: . t @;VVFIN;"missing" - plakate;V MFG V
"Missing"-Poster;m ' I s . I N . p o: s . t 6;VVFIN;"missing" - poster;V MFG V
&;' <P>;VVFIN;&;V
';' <P>;VVFIN;';V
'";' <P>;VVFIN;'";V
(;' <P>;XY;(;XY
(13.15);' <P>;CARD;(13.15);CARD
(2;' <P>;CARD;(2;CARD
(2.);' <P>;CARD;(2.);CARD
(3;' <P>;CARD;(3;CARD
(3.);' <P>;CARD;(3.);CARD
(4;' <P>;CARD;(4;CARD
(5;' <P>;CARD;(5;CARD
(5.);' <P>;CARD;(5.);CARD
(6;' <P>;CARD;(6;CARD
);' <P>;XY;);XY
*;' <P>;VVFIN;*;V
**;' <P>;VVFIN;**;V
***;' <P>;VVFIN;***;V
****;' <P>;VVFIN;****;V
**nen;n @ n;VVFIN;**nen;V
*?;' <P>;VVFIN;*?;V
*ichct;' I C k t;VVFIN;*ichct;V
*un;' U n;VVFIN;*un;V
+;' <P>;VVFIN;+;V
,;' <P>;XY;,;XY
-;' <P>;XY;-;XY
.;' <P>;XY;.;XY
..;' <P>;VVFIN;..;V
...;' <P>;XY;...;XY
....;' <P>;VVFIN;....;V
.....;' <P>;VVFIN;.....;V
........;' <P>;VVFIN;........;V
.?!.;' <P>;VVFIN;.?!.;V
/;' <P>;XY;/;XY
0;' <P>;CARD;0;CARD
0123456;' <P>;CARD;0123456;CARD
03.00;' <P>;CARD;03.00;CARD
05:00;' <P>;CARD;05:00;CARD
08:15;' <P>;CARD;08:15;CARD
1;' <P>;CARD;1;CARD
1);' <P>;CARD;1);CARD
1+;' <P>;CARD;1+;CARD
1.;' <P>;ADJA;1.;ADJ
1.);' <P>;CARD;1.);CARD
1/2;' <P>;CARD;1/2;CARD
10;' <P>;CARD;10;CARD
10.;' <P>;ADJA;10.;ADJ
10.00;' <P>;CARD;10.00;CARD
100;' <P>;CARD;100;CARD
1000;' <P>;CARD;1000;CARD
10000-mal;t s ' e: n . t aU . z @ n t . m a: l;CARD;10000 - mal;CARD MFG CARD
1000€;' <P>;CARD;1000€;CARD
10€;' <P>;CARD;10€;CARD
11;' <P>;CARD;11;CARD
11.;' <P>;ADJA;11.;ADJ
1102311010113;' <P>;CARD;1102311010113;CARD
12;' <P>;CARD;12;CARD
12-13;' <P>;CARD;12 - 13;CARD MFG CARD
12.00;' <P>;CARD;12.00;CARD
123123;' <P>;CARD;123123;CARD
1234;' <P>;CARD;1234;CARD
1234-Schule;? ' aI n s . t s v aI . d r aI . f i:6 . S u: . l @;CARD;1234 - schule;CARD MFG CARD
13;' <P>;CARD;13;CARD
13-14;' <P>;CARD;13 - 14;CARD MFG CARD
13.;' <P>;ADJA;13.;ADJ
13.08.2010;' <P>;CARD;13.08.2010;CARD
13.12.2011;' <P>;CARD;13.12.2011;CARD
13:30;' <P>;CARD;13:30;CARD
14-15;' <P>;CARD;14 - 15;CARD MFG CARD
149;' <P>;CARD;149;CARD
14:30;' <P>;CARD;14:30;CARD
15;' <P>;CARD;15;CARD
150;' <P>;CARD;150;CARD
1500;' <P>;CARD;1500;CARD
15:00;' <P>;CARD;15:00;CARD
16;' <P>;CARD;16;CARD
17;' <P>;CARD;17;CARD
17,5;' <P>;CARD;17,5;CARD
17,5:?=37;' <P>;CARD;17,5:?=37;CARD
17:02;' <P>;CARD;17:02;CARD
18;' <P>;CARD;18;CARD
180;' <P>;CARD;180;CARD
1X1;? ' I k s;CARD;1x1;CARD
1h;h ' a:;CARD;1h;CARD
1€;' <P>;CARD;1€;CARD
2;' <P>;CARD;2;CARD
2);' <P>;CARD;2);CARD
2-3;' <P>;CARD;2 - 3;CARD MFG CARD
2.;' <P>;ADJA;2.;ADJ
2.);' <P>;CARD;2.);CARD
20;' <P>;CARD;20;CARD
2000XL;? I k s . ? ' E l;CARD;2000xl;CARD
2011;' <P>;CARD;2011;CARD
20:9=;' <P>;CARD;20:9=;CARD
20:9=?;' <P>;CARD;20:9=?;CARD
2:30;' <P>;CARD;2:30;CARD
2h;h ' a:;CARD;2h;CARD
3;' <P>;CARD;3;CARD
3);' <P>;CARD;3);CARD
3.;' <P>;ADJA;3.;ADJ
3.);' <P>;CARD;3.);CARD
30;' <P>;CARD;30;CARD
338;' <P>;CARD;338;CARD
37;' <P>;CARD;37;CARD
38;' <P>;CARD;38;CARD
38€;' <P>;CARD;38€;CARD
4;' <P>;CARD;4;CARD
4);' <P>;CARD;4);CARD
4+;' <P>;CARD;4+;CARD
4.;' <P>;ADJA;4.;ADJ
4.);' <P>;CARD;4.);CARD
4.).;' <P>;CARD;4.).;CARD
45;' <P>;CARD;45;CARD
4b;b ' e:;CARD;4b;CARD
5;' <P>;CARD;5;CARD
5);' <P>;CARD;5);CARD
5-6;' <P>;CARD;5 - 6;CARD MFG CARD
5-mal;f ' Y n f . m a: l;CARD;5 - mal;CARD MFG CARD
5.;' <P>;ADJA;5.;ADJ
5.);' <P>;CARD;5.);CARD
50;' <P>;CARD;50;CARD
5000;' <P>;CARD;5000;CARD
50€;' <P>;CARD;50€;CARD
53;' <P>;CARD;53;CARD
54;' <P>;CARD;54;CARD
6;' <P>;CARD;6;CARD
6);' <P>;CARD;6);CARD
6.;' <P>;ADJA;6.;ADJ
6.);' <P>;CARD;6.);CARD
6:55;' <P>;CARD;6:55;CARD
7;' <P>;CARD;7;CARD
7,5:?=37;' <P>;CARD;7,5:?=37;CARD
7.10.2010;' <P>;CARD;7.10.2010;CARD
7.30;' <P>;CARD;7.30;CARD
7:20;' <P>;CARD;7:20;CARD
7x15=?;? ' I k s;CARD;7x15=?;CARD
7x18;? ' I k s;CARD;7x18;CARD
7x18=?;? ' I k s;CARD;7x18=?;CARD
8;' <P>;CARD;8;CARD
8.00;' <P>;CARD;8.00;CARD
82€;' <P>;CARD;82€;CARD
83;' <P>;CARD;83;CARD
9;' <P>;CARD;9;CARD
900€;' <P>;CARD;900€;CARD
909;' <P>;CARD;909;CARD
9:00;' <P>;CARD;9:00;CARD
:;' <P>;XY;:;XY
<<;' <P>;VVFIN;<<;V
=;' <P>;XY;=;XY
>>;' <P>;VVFIN;>>;V
?;' <P>;XY;?;XY
?!!;' <P>;VVFIN;?!!;V
??;' <P>;VVFIN;??;V
?????;' <P>;VVFIN;?????;V
??????;' <P>;VVFIN;??????;V
A;? ' a:;SPELL;a;SPELL
ABF;? ' a p f;NN;abf;NN
ALLES;? ' a l . @ s;NN;alles;NN
Aaa;? ' a:;ITJ;aaa;ITJ
Aaaaua;? ' a: . aU . a;NN;aaaaua;NN
Aaah;? ' a:;NN;aaah;NN
Aanne;? ' a: n . @;NN;aanne;NN
Abend;? ' a: . b @ n t;NN;abend;NN
Abendessen;? ' a: . b @ n t . ? E s . @ n;NN;abend ess en;NN V INFL
Abends;? ' a: . b @ n t s;NN;abend s;NN INFL
Aber;? ' a: . b 6;KON;aber;KON
Abschluss;? ' a p . S l U s;NN;ab schluss;PTKVZ NN
Absicht;? ' a p . z I C t;NN;ab sicht;PTKVZ NN
Abstand;? ' a p . S t a n t;NN;ab stand;PTKVZ V
Abstellplatz;? ' a p . S t E l . p l a t s;NN;ab stell platz;PTKVZ V NN
Abstreifer;? ' a p . S t r aI . f 6;NN;ab streif er;PTKVZ V SFX
Abwasch;? ' a p . v a S;NN;ab wasch;PTKVZ V
Ach;? ' a x;ITJ;ach;ITJ
Achtung;? ' a x . t U N;NN;acht ung;V SFX
Adolf;? ' a: . d O l f;NE;adolf;NE
Adresse;? a . d r ' E s . @;NN;adress e;NN INFL
Ah;? ' a:;ITJ;ah;ITJ
Aha;? a . h ' a;ITJ;aha;ITJ
Ahnung;? ' a: . n U N;NN;ahn ung;NN SFX
Alex;? ' a: . l E k s;NN;alex;NN
Alice;? a . l ' i: s;NE;alice;NE
Alienvögel;? ' eI . l i . @ n . v 2: . g @ l;NN;alienvögel;NN
Alle;? ' a l . @;PIDAT;alle;PI
Allerbester;? a l . 6 . b ' E s . t 6;NN;all er best er;PRFX PRFX ADJ INFL
Alles;? ' a l . @ s;PIS;alles;PI
Als;? ' a l s;KOKOM;als;KOKOM
Also;? ' a l . z o:;ADV;also;ADV
Alte;? ' a l . t @;ADJA;alt e;ADJ INFL
Alten;? ' a l . t @ n;NN;alt en;ADJ INFL
Altmann;? ' a l t . m a n;NN;alt mann;ADJ NN
Am;? ' a m;PTKA;am;PTKA
Amberkamp;? ' a m . b 6 . k a m p;NN;amberkamp;NN
Ampeln;? ' a m . p @ l n;NN;ampel n;NN INFL
An;? ' a n;APZR;an;ADP
Anderen;? ' a n . d @ . r @ n;NN;ander en;ADJ INFL
Anderes;? ' a n . d @ . r @ s;NN;ander es;ADJ INFL
Anfang;? ' a n . f a N;NN;an fang;PTKVZ V
Anfangs;? ' a n . f a N s;ADV;anfang s;NN SFX
Angelika;? a N . g ' e: . l i . k a;NN;angelika;NN
Angst;? ' a N s t;NN;angst;NN
Angstschweiß;? ' a N s t . S v aI s;NN;angst schweiß;NN NN
Anhalten;? ' a n . h a l . t @ n;NN;an halt en;PTKVZ V INFL
Anna;? ' a n . a;NN;anna;NN
Anruf;? ' a n . r u: f;NN;an ruf;PTKVZ V
Anrufe;? ' a n . r u: . f @;NN;an ruf e;PTKVZ V INFL
Anrufer;? ' a n . r u: . f 6;NN;an ruf er;PTKVZ V SFX
Anrufer(innen);? ' a n . r u: . f 6 . r I n . @ n;NN;anrufer(innen);NN
Anruft;? ' a n . r u: f t;NN;anruft;NN
Anschließend;? ' a n . S l i: . s @ n t;ADJD;an schließ end;PTKVZ V SFX
Anstatt;? a n . S t ' a t;NN;an statt;PTKVZ V
Antwort;? ' a n t . v O6 t;NN;antwort;NN
Anzeige;? ' a n . t s aI . g @;NN;an zeig e;PTKVZ V INFL
Anzeigen;? ' a n . t s aI . g @ n;NN;an zeig en;PTKVZ V INFL
Apfel;? ' a p . f @ l;NN;apfel;NN
Api;? ' a: . p i:;NN;api;NN
Apparat;? a p . a . r ' a: t;NN;apparat;NN
April;? a p . r ' I l;NN;april;NN
Apropos;? a p . r o . p ' o:;NN;apropos;NN
Arbeit;? ' a r . b aI t;NN;arbeit;NN
Arbeiten;? ' a r . b aI . t @ n;NN;arbeit en;NN INFL
Arbeiter;? ' a r . b aI . t 6;NN;arbeit er;NN INFL
Arbeitsraum;? ' a r . b aI t s . r aU m;NN;arbeit s raum;NN FG NN
Arbeitszimmer;? ' a r . b aI t s . t s I m . 6;NN;arbeit s zimmer;NN FG NN
Arm;? ' a r m;NN;arm;NN
Arme;? ' a r . m @;NN;arm e;NN INFL
Arslan;? ' a r s . l a: n;NN;arslan;NN
Art;? ' a: r t;NN;art;NN
Arzt;? ' a: r t s t;NN;arzt;NN
Ast;? ' a s t;NN;ast;NN
Ates;? ' a: . t @ s;NN;ates;NN
Aua;? ' aU a;NN;aua;NN
Auch;? ' aU x;ADV;auch;ADV
Auf;? ' aU f;APPR;auf;ADP
Aufbauen;? ' aU f . b aU . @ n;NN;auf bau en;PTKVZ V INFL
Aufgabe;? ' aU f . g a: . b @;NN;auf gab e;PTKVZ V INFL
Aufgaben;? ' aU f . g a: . b @ n;NN;auf gab en;PTKVZ V INFL
Aufgeflogen;? ' aU f . g @ . f l o: . g @ n;NN;auf ge flog en;PTKVZ PRFX V INFL
Aufgeregt;? ' aU f . g @ . r e: k t;NN;aufgeregt;NN
Aufhängen;? ' aU f . h E N . @ n;NN;auf häng en;PTKVZ V INFL
Aufmuntern;? ' aU f . m U n . t 6 n;NN;auf munter n;ADP ADJ INFL
Aufpassen;? ' aU f . p a s . @ n;NN;auf pass en;PTKVZ V INFL
Aufpasser;? ' aU f . p a s . 6;NN;auf pass er;PTKVZ V SFX
Aufregung;? ' aU f . r e: . g U N;NN;auf reg ung;PTKVZ V SFX
Aufschreiben;? ' aU f . S r aI . b @ n;NN;auf schreib en;PTKVZ V INFL
Aufstehen;? ' aU f . S t e: . @ n;NN;auf steh en;PTKVZ V INFL
Aufzug;? ' aU f . t s u: k;NN;auf zug;PTKVZ NN
Aufzupassen;? ' aU f . t s u . p a s . @ n;NN;auf zu pass en;PTKVZ ADP NN INFL
Auge;? ' aU . g @;NN;auge;NN
Augen;? ' aU . g @ n;NN;auge n;NN INFL
Augenarzt;? ' aU . g @ n . ? a: r t s t;NN;auge n arzt;NN FG NN
Augenblick;? aU . g @ n . b l ' I k;NN;auge n blick;NN FG NN
Augenfarbe;? ' aU . g @ n . f a r . b @;NN;auge n farbe;NN FG NN
Augenfarben;? ' aU . g @ n . f a r . b @ n;NN;auge n farbe n;NN FG NN INFL
August;? aU . g ' U s t;NN;august;NN
Aus;? ' aU s;APPR;aus;ADP
Ausbruch;? ' aU s . b r U x;NN;aus bruch;PTKVZ NN
Ausflug;? ' aU s . f l u: k;NN;aus flug;PTKVZ NN
Auslöser;? ' aU s . l 2: . z 6;NN;aus lös er;PTKVZ V SFX
Ausrede;? ' aU s . r e: . d @;NN;aus red e;PTKVZ V INFL
Aussehen;? ' aU s . z e: . @ n;NN;aus seh en;PTKVZ V INFL
Aussicht;? ' aU s . z I C t;NN;aus sicht;PTKVZ NN
Ausstieg;? ' aU s . S t i: k;NN;aus stieg;PTKVZ V
Ausstiegsstelle;? ' aU s . S t i: k s . S t E l . @;NN;aus stieg s stell e;PTKVZ V FG V INFL
Ausversehen;? ' aU s . f 6 . z e: . @ n;NN;aus ver seh en;PTKVZ PRFX V INFL
Auswechseln;? ' aU s . v E k . s @ l n;NN;aus wechsel n;PTKVZ V INFL
Auto;? ' aU . t o;NN;auto;NN
Außer;? ' aU . s 6;APPR;außer;ADP
Außerdem;? ' aU . s 6 . d e: m;PAV;außer d em;ADP ART INFL
Ayse;? ' aI . S @;NN;ayse;NN
B;b ' e:;SPELL;b;SPELL
Baby;b ' e: . b i;NN;baby;NN
Baceuuu;b ' a: . t s e: . u:;NN;baceuuu;NN
Backen;b ' a k . @ n;NN;back en;V INFL
Badeanzüge;b ' a: . d @ . ? a n . t s y: . g @;NN;bad e an züg e;NN FG ADP NN INFL
Bahn;b ' a: n;NN;bahn;NN
Bald;b ' a l t;ADV;bald;ADV
Balkon;b a l . k ' O N;NN;balkon;NN
Ball;b ' a l;NN;ball;NN
Ballgon;b a l . g ' O n;NN;ballgon;NN
Bam;b ' a: m;NN;bam;NN
Bambus;b ' a m . b U s;NN;bambus;NN
Band;b ' a n t;NN;band;NN
Banion;b ' a: n . j o: n;NN;banion;NN
Banken;b ' a N . k @ n;NN;bank en;NN INFL
Baran;b ' a: . r a n;NN;baran;NN
Barans;b ' a: . r a n s;NN;barans;NN
Bauch;b ' aU x;NN;bauch;NN
Bauchschmerzen;b ' aU x . S m E6 . t s @ n;NN;bauch schmerz en;NN NN INFL
Bauen;b ' aU . @ n;NN;bau en;NN INFL
Bauklotz;b ' aU . k l O t s;NN;bau klotz;NN NN
Bauklötzchen;b ' aU . k l 9 t s . C @ n;NN;bau klötz chen;NN NN SFX
Bauklötze;b ' aU . k l 9 t . s @;NN;bau klötz e;NN NN INFL
Bauklötzen;b ' aU . k l 9 t . s @ n;NN;bau klötz en;NN NN INFL
Baum;b ' aU m;NN;baum;NN
Bausachen;b ' aU . z a . x @ n;NN;bau sach en;NN NN INFL
Baustein;b ' aU . S t aI n;NN;bau stein;NN NN
Bausteinburg;b ' aU . S t aI n . b U6 k;NN;bau stein burg;NN NN NN
Bausteine;b ' aU . S t aI . n @;NN;bau stein e;NN NN INFL
Bausteinen;b ' aU . S t aI . n @ n;NN;bau stein en;NN NN INFL
Bauteile;b ' aU . t aI . l @;NN;bau teil e;NN NN INFL
Bean;b ' i: n;NN;bean;NN
Becker;b ' E k . 6;NE;beck er;NE SFX
Bedanken;b @ . d ' a N . k @ n;NN;be dank en;PRFX NN INFL
Beerdigung;b @ . ? ' e:6 . d I . g U N;NN;be erd igung;PRFX NN SFX
Befestige;b @ . f ' E s . t I . g @;NN;be fest ig e;PRFX NN SFX INFL
Begrüßung;b @ . g r ' y: . s U N;NN;be grüß ung;PRFX NN SFX
Bei;b ' aI;APPR;bei;ADP
Beide;b ' aI . d @;PIDAT;beid e;PI INFL
Beim;b ' aI m;APPRART;bei m;ADP INFL
Bein;b ' aI n;NN;bein;NN
Beine;b ' aI . n @;NN;bein e;NN INFL
Beinen;b ' aI . n @ n;NN;bein en;NN INFL
Beispiel;b ' aI . S p i: l;NN;bei spiel;PTKVZ V
Bell;b ' E l;NN;bell;NN
Bellen;b ' E l . @ n;NN;bell en;V INFL
Bello;b ' E l . o;NN;bello;NN
Bellte;b ' E l . t @;NN;bellte;NN
Ben;b ' E n;NN;ben;NN
Beng;b ' E N;NN;beng;NN
Beni;b ' e: . n i;NN;beni;NN
Benny;b ' E n . i;NE;benny;NE
Bennys;b ' E n . i: s;NE;bennys;NE
Berg;b ' E6 k;NN;berg;NN
Berliner;b E6 . l ' i: . n 6;ADJA;berlin er;NN INFL
Bernhard;b ' E6 n . h a r t;NE;bernhard;NE
Berühmtheitsshow;b @ . r ' y: m t . h aI t s . S o:;NN;be rühm t heit s show;PRFX V SFX SFX FG NN
Bescheid;b @ . S ' aI t;NN;be scheid;PRFX V
Besitzer;b @ . s ' I t . s 6;NN;be sitz er;PRFX NN INFL
Besitzerin;b @ . z ' I t . s @ . r I n;NN;be sitz er in;PRFX NN SFX SFX
Besseres;b ' E s . @ . r @ s;NN;bess er es;ADJ KOMP INFL
Beste;b ' E s . t @;NN;best e;ADJ INFL
Bestimmt;b @ . S t ' I m t;VVIMP;be stimm t;PRFX V INFL
Besuch;b @ . z ' u: x;NN;be such;PRFX V
Bett;b ' E t;NN;bett;NN
Beutel;b ' OY . t @ l;NN;beutel;NN
Bevor;b @ . f ' o:6;KOUS;bevor;KOUS
Beweis;b @ . v ' aI s;NN;be weis;PRFX V
Bewohner;b @ . v ' o: . n 6;NN;be wohn er;PRFX V SFX
Bewohnerin;b @ . v ' o: . n @ . r I n;NN;be wohn er in;PRFX V SFX SFX
Bienen;b ' i: . n @ n;NN;bienen;NN
Bild;b ' I l t;NN;bild;NN
Bilder;b ' I l . d 6;NN;bild er;NN INFL
Bildern;b ' I l . d 6 n;NN;bild er n;NN SFX INFL
Billstein;b ' I l . S t aI n;NN;billstein;NN
Bin;b ' I n;VAFIN;bin;V
Binde;b ' I n . d @;NN;bind e;V INFL
Bio;b ' i: . o;NE;bio;NE
Bis;b ' I s;KOUS;bis;KOUS
Bismarckstraße;b ' I s . m a r k . S t r a: . s @;NN;bismarck straße;NE NN
Bist;b ' I s t;VAFIN;bist;V
Bitersen;b ' i: . t 6 . z @ n;NN;bitersen;NN
Bitte;b ' I t . @;PTKANT;bitte;PTKANT
Bitteschön;b ' I t . @ . S 2: n;NN;bitteschön;NN
Blatt;b l ' a t;NN;blatt;NN
Blaubeer;b l ' aU . b e: 6;NN;blaubeer;NN
Blauer;b l ' aU . 6;NN;blau er;ADJ INFL
Bleib;b l ' aI p;VVIMP;bleib;V
Bleiben;b l ' aI . b @ n;VVFIN;bleib en;V INFL
Blick;b l ' I k;NN;blick;NN
Blitz;b l ' I t s;NN;blitz;NN
Blitzschnell;b l I t s . S n ' E l;NN;blitzschnell;NN
Blume;b l ' u: . m @;NN;blume;NN
Blumenstrauß;b l ' u: . m @ n . S t r aU s;NN;blume n strauß;NN FG NN
Blumentöpfe;b l ' u: . m @ n . t 9 p . f @;NN;blume n töpf e;NN FG NN INFL
Blätter;b l ' E t . 6;NN;blätt er;NN INFL
Blödsinn;b l ' 2: t . z I n;NN;blöd sinn;ADJ NN
Bob;b ' O p;NN;bob;NN
Bobby;b ' O b . i;NN;bobby;NN
Bock;b ' O k;NN;bock;NN
Boden;b ' o: . d @ n;NN;boden;NN
Bodi;b ' o: . d i;NN;bodi;NN
Bogen;b ' o: . g @ n;NN;bog en;V INFL
Bogestra;b o: . g ' E s . t r a;NN;bogestra;NN
Bolzplatz;b ' O l t s . p l a t s;NN;bolzplatz;NN
Bom;b ' O m;NN;bom;NN
Bombe;b ' O m . b @;NN;bombe;NN
Bomm;b ' O m;NN;bomm;NN
Bonbon;b O N . b ' O N;NN;bon bon;NN NN
Bonbons;b O N . b ' O N s;NN;bon bon s;NN NN INFL
Bond;b ' O n t;NN;bond;NN
Boom;b ' u: m;NN;boom;NN
Bow;b ' @U;NN;bow;NN
Box;b ' O k s;NN;box;NN
Breucker;b r ' OY k . 6;NN;breucker;NN
Brief;b r ' i: f;NN;brief;NN
Briefe;b r ' i: . f @;NN;brief e;NN INFL
Brille;b r ' I l . @;NN;brill e;V INFL
Bring;b r ' I N;VVIMP;bring;V
Bromber;b r ' O m . b 6;NN;bromber;NN
Bruch;b r ' U x;NN;bruch;NN
Bruder;b r ' u: . d 6;NN;bruder;NN
Brücke;b r ' Y k . @;NN;brück e;V INFL
Buch;b ' u: x;NN;buch;NN
Buchs;b ' u: x s;NN;buch s;NN INFL
Bude;b ' u: . d @;NN;bude;NN
Budi;b ' u: . d i;NN;budi;NN
Buh;b ' u:;NN;buh;NN
Bum;b ' U m;NN;bum;NN
Bumm;b ' U m;NN;bumm;NN
Buntes;b ' U n . t @ s;NN;bunt es;ADJ INFL
Burg;b ' U6 k;NN;burg;NN
Bus;b ' U s;NN;bus;NN
Busbank;b ' U s . b a N k;NN;bus bank;NN NN
Busfahrer;b ' U s . f a: . r 6;NN;bus fahr er;NN V SFX
Busfahrt;b ' U s . f a: r t;NN;bus fahrt;NN NN
Busfenster;b ' U s . f E n s . t 6;NN;bus fenster;NN NN
Bushaltestelle;b ' U s . h a l . t @ . S t E l . @;NN;bus halt e stell e;NN NN FG V INFL
Buslinie;b ' U s . l i: n . j @;NN;bus linie;NN NN
Busscheibe;b ' U s . S aI . b @;NN;bus scheibe;NN NN
Busses;b ' U s . @ s;NN;busses;NN
Busstelle;b ' U s . S t E l . @;NN;bus stell e;NN V INFL
Butter;b ' U t . 6;NN;butter;NN
Buuuummm;b ' u: m;NN;buuuummm;NN
Bye;b ' aI;NN;bye;NN
Bällchen;b ' E l . C @ n;NN;bäll chen;NN SFX
Bär;b ' E:6;NN;bär;NN
Bärchen;b ' E:6 . C @ n;NN;bär chen;NN SFX
Bären;b ' E: . r @ n;NN;bär en;NN INFL
Böser;b ' 2: . z 6;NN;böser;NN
Böses;b ' 2: . z @ s;NN;böses;NN
Bücher;b ' y: . C 6;NN;büch er;NN INFL
Bürgersteig;b ' Y6 . g 6 . S t aI k;NN;bürg er s teig;V SFX FG NN
Büro;b y . r ' o:;NN;büro;NN
C.;t s ' e:;SPELL;c.;SPELL
Can;d Z ' a n;NN;can;NN
Cem;d Z ' E m;NN;cem;NN
Chance;S ' a N . s @;NN;chance;NN
Chor;k ' o:6;NN;chor;NN
Chris;k r ' I s;NN;chris;NN
Christian;k r ' I s . t j a n;NE;christian;NE
Chööö;t S ' 2:;NN;chööö;NN
Ciao;t S ' aU;NN;ciao;NN
Ciiiiiit;s ' i: t;NN;ciiiiiit;NN
Claudia;k l ' aU . d j a;NE;claudia;NE
Cool;k ' u: l;ITJ;cool;ITJ
Cooles;k ' u: . l @ s;NN;cool es;ADJ INFL
Crador;k r ' a: . d O r;NN;crador;NN
Ct;t s e: . t ' e:;NN;ct;NN
DANKE;d ' a N . k @;NN;dank e;NN INFL
DER;d ' e:6;NN;der;NN
DJ;d ' i: . d Z EI;NN;dj;NN
DODO;d ' o: . d o;NN;dodo;NN
DVD-;d ' e: . f aU . d e:;NN;dvd -;NN MFG
Da;d ' a:;KOUS;da;KOUS
Dabei;d a . b ' aI;PAV;da bei;ADV PTKVZ
Dach;d ' a x;NN;dach;NN
Dachboden;d ' a x . b o: . d @ n;NN;dach boden;NN NN
Dachte;d ' a x . t @;VVFIN;dach t e;NN SFX INFL
Dackel;d ' a k . @ l;NN;dackel;NN
Dada;d ' a: . d a;NN;dada;NN
Dadrauf;d a . d r ' aU f;NN;dadrauf;NN
Dadraus;d ' a: . d r aU s;NN;dadraus;NN
Daher;d a . h ' e:6;PAV;da her;ADV PTKVZ
Dame;d ' a: . m @;NN;dame;NN
Damit;d a . m ' I t;PAV;da mit;ADV PTKVZ
Danach;d a . n ' a: x;PAV;da nach;ADV PTKVZ
Daniell;d ' a: n . j E l;NN;daniell;NN
Dank;d ' a N k;APPR;dank;ADP
Danke;d ' a N . k @;NN;dank e;NN INFL
Dankeschön;d ' a N . k @ . S 2: n;NN;dankeschön;NN
Dann;d ' a n;ADV;dann;ADV
Daran;d a . r ' a n;PAV;da ran;ADV PTKVZ
Darauf;d a . r ' aU f;PAV;da rauf;ADV PTKVZ
Daraufhin;d a . r aU f . h ' I n;PAV;da rauf hin;ADV PTKVZ PTKVZ
Darf;d ' a r f;VMFIN;darf;V
Darfst;d ' a r f s t;NN;darfst;NN
Dario;d ' a: . r i: . o;NN;dario;NN
Darmet;d ' a r . m @ t;NN;darmet;NN
Darum;d ' a: . r U m;PAV;da rum;ADV PTKVZ
Darunter;d a . r ' U n . t 6;PAV;da runter;ADV PTKVZ
Darüber;d a . r ' y: . b 6;PAV;da rüber;ADV PTKVZ
Das;d ' a s;PDS;d as;ART INFL
Dass;d ' a s;NN;dass;NN
David;d ' a: . v I t;NN;david;NN
Davor;d a . f ' o:6;NN;davor;NN
Dazu;d a . t s ' u:;PAV;da zu;ADV PTKVZ
Decke;d ' E k . @;NN;deck e;V INFL
Deckel;d ' E k . @ l;NN;deckel;NN
Dein;d ' aI n;PPOSAT;dein;PPOS
Deine;d ' aI . n @;PPOSAT;dein e;PPOS INFL
Dem;d ' e: m;PDS;d em;ART INFL
Demir;d E . m ' i r;NN;demir;NN
Den;d ' e: n;PDS;d en;ART INFL
Denkmale;d ' E N k . m a: . l @;NN;denk mal e;V SFX INFL
Denkt;d ' E N k t;VVFIN;denk t;V INFL
Denn;d ' E n;KON;denn;KON
Dennis;d ' E n . I s;NN;dennis;NN
Dent;d ' E n t;NN;dent;NN
Der;d ' e:6;ART;d er;ART INFL
Derjenige;d ' e:6 . j e: . n I . g @;NN;derjenige;NN
Deshalb;d ' E s . h a l p;PAV;d es halb;ART INFL ADJ
Deswegen;d ' E s . v e: . g @ n;PAV;d es wegen;ART INFL ADP
Detektive;d e . t E k . t ' i: . v @;NN;detektiv e;NN INFL
Deutsch;d ' OY t S;ADJD;deutsch;ADJ
Deutscharbeit;d ' OY t S . ? a r . b aI t;NN;deutsch arbeit;ADJ NN
Die;d ' i:;ART;d ie;ART INFL
Dienstag;d ' i: n s . t a: k;NN;dien s tag;V FG NN
Dienstagmorgen;d ' i: n s . t a: k . m O6 . g @ n;NN;dien s tag morgen;V FG NN NN
Dienstagnachmittag;d i: n s . t a: k . n ' a: x . m I t . a: k;NN;dien s tag nach mit tag;V FG NN ADP ADP NN
Dies;d ' i: s;PDS;dies;PD
Diese;d ' i: . z @;PDAT;dies e;PD INFL
Dieses;d ' i: . z @ s;PDAT;dies es;PD INFL
Diesmal;d ' i: s . m a: l;ADV;diesmal;ADV
DiixDiii;d ' i: k s . d i;NN;diixdiii;NN
Ding;d ' I N;NN;ding;NN
Dingdong;d ' I N . d O N;NN;dingdong;NN
Dinge;d ' I N . @;NN;ding e;NN INFL
Dingen;d ' I N . @ n;NN;ding en;NN INFL
Direkt;d i . r ' E k t;ADJD;direkt;ADJ
