a	a	2
a	b	2
a	c	3
a	d	4
a	e	4
a	f	3
a	g	5
a	h	3
a	i	1
a	j	3
a	k	5
a	l	2
a	m	2
a	n	4
a	o	4
a	p	2
a	q	1
a	r	5
a	s	1
a	t	1
a	u	1
a	v	1
a	w	5
a	x	2
a	y	3
a	z	3
a	ä	3
a	ö	1
a	ü	4
a	ß	2
a	è	5
a	é	4
a	ê	3
a	ç	3
a	ñ	2
a	à	2
a	á	2
a	â	4
a	A	4
a	B	3
a	C	3
a	D	4
a	E	2
a	F	5
a	G	1
a	H	4
a	I	3
a	J	4
a	K	3
a	L	3
a	M	5
a	N	4
a	O	1
a	P	2
a	Q	2
a	R	2
a	S	2
a	T	2
a	U	4
a	V	4
a	W	2
a	X	3
a	Y	1
a	Z	5
a	Ä	5
a	Ö	5
a	Ü	2
b	a	3
b	b	2
b	c	5
b	d	5
b	e	3
b	f	4
b	g	5
b	h	2
b	i	3
b	j	5
b	k	2
b	l	1
b	m	3
b	n	3
b	o	2
b	p	4
b	q	1
b	r	5
b	s	2
b	t	4
b	u	1
b	v	3
b	w	2
b	x	5
b	y	5
b	z	1
b	ä	5
b	ö	1
b	ü	1
b	ß	1
b	è	3
b	é	5
b	ê	3
b	ç	3
b	ñ	5
b	à	2
b	á	1
b	â	2
b	A	5
b	B	1
b	C	4
b	D	2
b	E	1
b	F	3
b	G	1
b	H	3
b	I	3
b	J	4
b	K	3
b	L	5
b	M	3
b	N	4
b	O	1
b	P	1
b	Q	3
b	R	3
b	S	5
b	T	2
b	U	4
b	V	3
b	W	2
b	X	3
b	Y	2
b	Z	4
b	Ä	5
b	Ö	4
b	Ü	4
c	a	2
c	b	2
c	c	5
c	d	3
c	e	4
c	f	5
c	g	3
c	h	2
c	i	5
c	j	5
c	k	2
c	l	2
c	m	3
c	n	5
c	o	2
c	p	5
c	q	1
c	r	5
c	s	2
c	t	2
c	u	3
c	v	2
c	w	1
c	x	1
c	y	5
c	z	4
c	ä	5
c	ö	1
c	ü	2
c	ß	1
c	è	5
c	é	1
c	ê	5
c	ç	5
c	ñ	4
c	à	4
c	á	1
c	â	3
c	A	2
c	B	5
c	C	3
c	D	3
c	E	3
c	F	4
c	G	5
c	H	3
c	I	5
c	J	3
c	K	5
c	L	5
c	M	3
c	N	3
c	O	1
c	P	5
c	Q	3
c	R	2
c	S	5
c	T	4
c	U	2
c	V	4
c	W	4
c	X	1
c	Y	2
c	Z	1
c	Ä	3
c	Ö	4
c	Ü	5
d	a	3
d	b	3
d	c	1
d	d	2
d	e	3
d	f	3
d	g	1
d	h	5
d	i	5
d	j	5
d	k	4
d	l	2
d	m	5
d	n	3
d	o	1
d	p	3
d	q	4
d	r	1
d	s	5
d	t	2
d	u	4
d	v	5
d	w	4
d	x	5
d	y	2
d	z	3
d	ä	3
d	ö	4
d	ü	1
d	ß	5
d	è	3
d	é	5
d	ê	3
d	ç	1
d	ñ	4
d	à	1
d	á	3
d	â	1
d	A	5
d	B	4
d	C	4
d	D	1
d	E	2
d	F	4
d	G	2
d	H	1
d	I	5
d	J	1
d	K	5
d	L	3
d	M	3
d	N	5
d	O	1
d	P	3
d	Q	1
d	R	2
d	S	3
d	T	1
d	U	3
d	V	3
d	W	4
d	X	2
d	Y	2
d	Z	3
d	Ä	5
d	Ö	1
d	Ü	5
e	a	2
e	b	5
e	c	2
e	d	2
e	e	5
e	f	1
e	g	3
e	h	2
e	i	2
e	j	5
e	k	2
e	l	5
e	m	4
e	n	2
e	o	2
e	p	2
e	q	2
e	r	1
e	s	4
e	t	5
e	u	5
e	v	4
e	w	2
e	x	4
e	y	1
e	z	3
e	ä	2
e	ö	5
e	ü	1
e	ß	4
e	è	2
e	é	3
e	ê	5
e	ç	5
e	ñ	2
e	à	1
e	á	5
e	â	3
e	A	3
e	B	4
e	C	2
e	D	2
e	E	2
e	F	4
e	G	3
e	H	2
e	I	5
e	J	2
e	K	3
e	L	5
e	M	1
e	N	5
e	O	2
e	P	3
e	Q	1
e	R	1
e	S	3
e	T	1
e	U	5
e	V	5
e	W	1
e	X	1
e	Y	1
e	Z	5
e	Ä	2
e	Ö	1
e	Ü	4
f	a	5
f	b	4
f	c	5
f	d	5
f	e	1
f	f	3
f	g	3
f	h	2
f	i	2
f	j	3
f	k	5
f	l	5
f	m	4
f	n	4
f	o	1
f	p	4
f	q	2
f	r	2
f	s	1
f	t	1
f	u	2
f	v	2
f	w	4
f	x	3
f	y	4
f	z	2
f	ä	3
f	ö	2
f	ü	3
f	ß	2
f	è	5
f	é	3
f	ê	3
f	ç	2
f	ñ	2
f	à	5
f	á	5
f	â	1
f	A	2
f	B	1
f	C	2
f	D	1
f	E	3
f	F	3
f	G	2
f	H	5
f	I	5
f	J	4
f	K	1
f	L	2
f	M	4
f	N	4
f	O	4
f	P	3
f	Q	4
f	R	1
f	S	4
f	T	1
f	U	1
f	V	4
f	W	2
f	X	1
f	Y	1
f	Z	1
f	Ä	1
f	Ö	1
f	Ü	2
g	a	5
g	b	1
g	c	1
g	d	1
g	e	1
g	f	1
g	g	2
g	h	1
g	i	3
g	j	3
g	k	1
g	l	1
g	m	4
g	n	3
g	o	4
g	p	5
g	q	1
g	r	2
g	s	3
g	t	5
g	u	4
g	v	4
g	w	2
g	x	1
g	y	2
g	z	3
g	ä	5
g	ö	4
g	ü	2
g	ß	2
g	è	2
g	é	5
g	ê	1
g	ç	5
g	ñ	1
g	à	2
g	á	3
g	â	3
g	A	2
g	B	1
g	C	2
g	D	4
g	E	2
g	F	1
g	G	3
g	H	1
g	I	4
g	J	5
g	K	1
g	L	1
g	M	1
g	N	3
g	O	5
g	P	3
g	Q	3
g	R	5
g	S	3
g	T	1
g	U	5
g	V	4
g	W	5
g	X	5
g	Y	5
g	Z	3
g	Ä	1
g	Ö	2
g	Ü	2
h	a	5
h	b	3
h	c	1
h	d	3
h	e	5
h	f	3
h	g	1
h	h	3
h	i	3
h	j	1
h	k	3
h	l	4
h	m	4
h	n	5
h	o	4
h	p	2
h	q	4
h	r	1
h	s	2
h	t	4
h	u	4
h	v	1
h	w	1
h	x	4
h	y	4
h	z	3
h	ä	3
h	ö	2
h	ü	3
h	ß	3
h	è	4
h	é	3
h	ê	5
h	ç	5
h	ñ	4
h	à	1
h	á	5
h	â	5
h	A	4
h	B	2
h	C	1
h	D	2
h	E	2
h	F	5
h	G	3
h	H	3
h	I	2
h	J	3
h	K	1
h	L	2
h	M	3
h	N	2
h	O	5
h	P	3
h	Q	2
h	R	2
h	S	1
h	T	4
h	U	4
h	V	2
h	W	3
h	X	2
h	Y	3
h	Z	2
h	Ä	4
h	Ö	5
h	Ü	3
i	a	5
i	b	2
i	c	5
i	d	3
i	e	3
i	f	1
i	g	2
i	h	5
i	i	1
i	j	4
i	k	3
i	l	4
i	m	2
i	n	5
i	o	2
i	p	2
i	q	2
i	r	2
i	s	4
i	t	2
i	u	4
i	v	4
i	w	2
i	x	2
i	y	4
i	z	4
i	ä	4
i	ö	2
i	ü	5
i	ß	5
i	è	3
i	é	1
i	ê	4
i	ç	2
i	ñ	3
i	à	4
i	á	1
i	â	3
i	A	2
i	B	1
i	C	3
i	D	5
i	E	3
i	F	1
i	G	4
i	H	4
i	I	2
i	J	5
i	K	3
i	L	2
i	M	2
i	N	5
i	O	3
i	P	1
i	Q	3
i	R	5
i	S	2
i	T	4
i	U	3
i	V	1
i	W	1
i	X	5
i	Y	1
i	Z	4
i	Ä	5
i	Ö	2
i	Ü	1
j	a	3
j	b	4
j	c	5
j	d	2
j	e	5
j	f	5
j	g	1
j	h	2
j	i	4
j	j	4
j	k	4
j	l	4
j	m	3
j	n	5
j	o	1
j	p	2
j	q	3
j	r	3
j	s	1
j	t	5
j	u	3
j	v	4
j	w	1
j	x	2
j	y	2
j	z	3
j	ä	5
j	ö	5
j	ü	3
j	ß	3
j	è	5
j	é	1
j	ê	1
j	ç	2
j	ñ	3
j	à	3
j	á	5
j	â	4
j	A	3
j	B	3
j	C	3
j	D	3
j	E	4
j	F	1
j	G	5
j	H	4
j	I	1
j	J	1
j	K	1
j	L	5
j	M	2
j	N	4
j	O	4
j	P	5
j	Q	2
j	R	1
j	S	5
j	T	4
j	U	4
j	V	3
j	W	2
j	X	1
j	Y	4
j	Z	3
j	Ä	3
j	Ö	2
j	Ü	3
k	a	2
k	b	1
k	c	4
k	d	3
k	e	2
k	f	4
k	g	5
k	h	5
k	i	4
k	j	3
k	k	1
k	l	1
k	m	2
k	n	5
k	o	5
k	p	4
k	q	2
k	r	5
k	s	1
k	t	3
k	u	4
k	v	2
k	w	4
k	x	3
k	y	5
k	z	3
k	ä	2
k	ö	1
k	ü	3
k	ß	4
k	è	1
k	é	2
k	ê	3
k	ç	2
k	ñ	5
k	à	4
