q	1.0	1.0
Q	1.0	1.0
w	1.0	2.0
W	1.0	2.0
e	1.0	3.0
E	1.0	3.0
r	1.0	4.0
R	1.0	4.0
t	1.0	5.0
T	1.0	5.0
y	1.0	6.0
Y	1.0	6.0
u	1.0	7.0
U	1.0	7.0
i	1.0	8.0
I	1.0	8.0
o	1.0	9.0
O	1.0	9.0
p	1.0	10.0
P	1.0	10.0
a	2.0	1.25
A	2.0	1.25
s	2.0	2.25
S	2.0	2.25
d	2.0	3.25
D	2.0	3.25
f	2.0	4.25
F	2.0	4.25
g	2.0	5.25
G	2.0	5.25
h	2.0	6.25
H	2.0	6.25
j	2.0	7.25
J	2.0	7.25
k	2.0	8.25
K	2.0	8.25
l	2.0	9.25
L	2.0	9.25
z	3.0	1.75
Z	3.0	1.75
x	3.0	2.75
X	3.0	2.75
c	3.0	3.75
C	3.0	3.75
v	3.0	4.75
V	3.0	4.75
b	3.0	5.75
B	3.0	5.75
n	3.0	6.75
N	3.0	6.75
m	3.0	7.75
M	3.0	7.75
